id_atribuicao,cpf,code_regiao,code_sexo,code_projeto
1,918.630.725-86,5,1,Aaaa4244
2,897.154.230-60,5,1,Aaaa4244
3,896.730.521-40,5,1,Aaaa4244
4,893.605.721-95,5,1,Aaaa4244
5,820.974.536-00,5,1,Aaaa4244
6,815.493.762-09,5,1,Aaaa4244
7,809.341.526-24,5,1,Aaaa4244
8,796.502.381-40,5,1,Aaaa4244
9,791.453.280-05,5,1,Aaaa4244
10,760.198.342-04,5,1,Aaaa4244
11,630.849.715-01,5,1,Aaaa4244
12,621.985.037-86,5,1,Aaaa4244
13,617.593.042-80,5,1,Aaaa4244
14,610.938.452-60,5,1,Aaaa4244
15,598.406.312-33,5,1,Aaaa4244
16,564.109.378-57,5,1,Aaaa4244
17,495.017.823-79,5,1,Aaaa4244
18,451.609.827-01,5,1,Aaaa4244
19,385.714.690-75,5,1,Aaaa4244
20,159.760.234-52,5,1,Aaaa4244
21,126.390.758-02,5,1,Aaaa4244
22,052.946.371-70,5,1,Aaaa4244
23,042.986.153-24,5,1,Aaaa4244
24,954.703.186-48,5,2,Aaaa4244
25,817.936.024-50,5,2,Aaaa4244
26,762.135.094-61,5,2,Aaaa4244
27,72.386.450-92,5,2,Aaaa4244
28,598.371.026-59,5,2,Aaaa4244
29,528.364.970-92,5,2,Aaaa4244
30,403.217.985-97,5,2,Aaaa4244
31,360.985.421-98,5,2,Aaaa4244
32,207.985.413-50,5,2,Aaaa4244
33,203.496.781-03,5,2,Aaaa4244
34,198.465.327-09,5,2,Aaaa4244
35,158.749.320-97,5,2,Aaaa4244
36,841.923.067-78,4,1,Aaaa4244
37,726.801.935-12,4,1,Aaaa4244
38,697.180.342-69,4,1,Aaaa4244
39,573.429.601-52,4,1,Aaaa4244
40,531.048.697-66,4,1,Aaaa4244
41,297.140.658-01,4,1,Aaaa4244
42,210.839.574-14,4,1,Aaaa4244
43,045.618.792-85,4,1,Aaaa4244
44,831.927.546-64,4,2,Aaaa4244
45,751.032.986-86,4,2,Aaaa4244
46,643.071.852-26,4,2,Aaaa4244
47,587.409.362-10,4,2,Aaaa4244
48,492.601.587-02,4,2,Aaaa4244
49,293.417.680-04,4,2,Aaaa4244
50,935.826.147-19,3,1,Aaaa4244
51,917.324.856-82,3,1,Aaaa4244
52,872.013.469-03,3,1,Aaaa4244
53,826.793.501-03,3,1,Aaaa4244
54,764.310.259-70,3,1,Aaaa4244
55,753.840.219-50,3,1,Aaaa4244
56,736.980.521-21,3,1,Aaaa4244
57,691.725.034-16,3,1,Aaaa4244
58,630.142.958-33,3,1,Aaaa4244
59,580.317.462-90,3,1,Aaaa4244
60,542.309.167-52,3,1,Aaaa4244
61,538.926.071-68,3,1,Aaaa4244
62,473.629.158-37,3,1,Aaaa4244
63,436.051.897-84,3,1,Aaaa4244
64,276.518.309-03,3,1,Aaaa4244
65,258.174.036-17,3,1,Aaaa4244
66,182.645.079-30,3,1,Aaaa4244
67,138.072.695-68,3,1,Aaaa4244
68,019.675.248-58,3,1,Aaaa4244
69,940.261.537-70,3,2,Aaaa4244
70,918.562.370-95,3,2,Aaaa4244
71,834.761.059-20,3,2,Aaaa4244
72,815.423.096-89,3,2,Aaaa4244
73,735.480.126-71,3,2,Aaaa4244
74,680.293.471-03,3,2,Aaaa4244
75,546.301.879-01,3,2,Aaaa4244
76,518.907.236-30,3,2,Aaaa4244
77,478.926.513-73,3,2,Aaaa4244
78,472.103.685-07,3,2,Aaaa4244
79,365.891.720-21,3,2,Aaaa4244
80,217.065.893-95,3,2,Aaaa4244
81,109.358.264-24,3,2,Aaaa4244
82,946.572.380-00,2,1,Aaaa4244
83,791.035.862-86,2,1,Aaaa4244
84,695.127.034-16,2,1,Aaaa4244
85,658.730.214-90,2,1,Aaaa4244
86,582.917.340-97,2,1,Aaaa4244
87,571.890.324-79,2,1,Aaaa4244
88,549.072.318-14,2,1,Aaaa4244
89,486.932.751-19,2,1,Aaaa4244
90,479.516.830-00,2,1,Aaaa4244
91,452.037.891-50,2,1,Aaaa4244
92,438.059.176-00,2,1,Aaaa4244
93,429.763.508-92,2,1,Aaaa4244
94,364.805.971-84,2,1,Aaaa4244
95,273.409.518-14,2,1,Aaaa4244
96,920.164.738-78,2,2,Aaaa4244
97,725.369.401-52,2,2,Aaaa4244
98,704.918.362-87,2,2,Aaaa4244
99,672.305.189-03,2,2,Aaaa4244
100,564.970.813-48,2,2,Aaaa4244
101,246.719.538-46,2,2,Aaaa4244
102,180.967.532-40,2,2,Aaaa4244
103,139.285.670-12,2,2,Aaaa4244
104,071.683.542-80,2,2,Aaaa4244
105,057.162.493-61,2,2,Aaaa4244
106,042.863.917-87,2,2,Aaaa4244
107,705.289.346-00,1,1,Aaaa4244
108,632.150.489-06,1,1,Aaaa4244
109,574.698.210-58,1,1,Aaaa4244
110,516.327.049-43,1,1,Aaaa4244
111,470.268.351-90,1,1,Aaaa4244
112,413.879.265-19,1,1,Aaaa4244
113,375.246.189-64,1,1,Aaaa4244
114,306.784.259-65,1,1,Aaaa4244
115,231.568.947-37,1,1,Aaaa4244
116,950.631.827-12,1,2,Aaaa4244
117,935.741.260-34,1,2,Aaaa4244
118,927.086.435-92,1,2,Aaaa4244
119,609.537.824-92,1,2,Aaaa4244
120,562.710.489-94,1,2,Aaaa4244
121,528.147.036-17,1,2,Aaaa4244
122,396.048.527-10,1,2,Aaaa4244
123,346.758.012-26,1,2,Aaaa4244
124,270.691.548-01,1,2,Aaaa4244
125,260.518.493-51,1,2,Aaaa4244
126,247.016.983-69,1,2,Aaaa4244
127,017.845.629-20,1,2,Aaaa4244
86234,918.630.725-86,5,1,Aaaa4721
86235,897.154.230-60,5,1,Aaaa4721
86236,896.730.521-40,5,1,Aaaa4721
86237,893.605.721-95,5,1,Aaaa4721
86238,820.974.536-00,5,1,Aaaa4721
86239,815.493.762-09,5,1,Aaaa4721
86240,809.341.526-24,5,1,Aaaa4721
86241,796.502.381-40,5,1,Aaaa4721
86242,791.453.280-05,5,1,Aaaa4721
86243,760.198.342-04,5,1,Aaaa4721
86244,630.849.715-01,5,1,Aaaa4721
86245,621.985.037-86,5,1,Aaaa4721
86246,617.593.042-80,5,1,Aaaa4721
86247,610.938.452-60,5,1,Aaaa4721
86248,598.406.312-33,5,1,Aaaa4721
86249,564.109.378-57,5,1,Aaaa4721
86250,495.017.823-79,5,1,Aaaa4721
86251,451.609.827-01,5,1,Aaaa4721
86252,385.714.690-75,5,1,Aaaa4721
86253,159.760.234-52,5,1,Aaaa4721
86254,126.390.758-02,5,1,Aaaa4721
86255,052.946.371-70,5,1,Aaaa4721
86256,042.986.153-24,5,1,Aaaa4721
86257,954.703.186-48,5,2,Aaaa4721
86258,817.936.024-50,5,2,Aaaa4721
86259,762.135.094-61,5,2,Aaaa4721
86260,72.386.450-92,5,2,Aaaa4721
86261,598.371.026-59,5,2,Aaaa4721
86262,528.364.970-92,5,2,Aaaa4721
86263,403.217.985-97,5,2,Aaaa4721
86264,360.985.421-98,5,2,Aaaa4721
86265,207.985.413-50,5,2,Aaaa4721
86266,203.496.781-03,5,2,Aaaa4721
86267,198.465.327-09,5,2,Aaaa4721
86268,158.749.320-97,5,2,Aaaa4721
86269,841.923.067-78,4,1,Aaaa4721
86270,726.801.935-12,4,1,Aaaa4721
86271,697.180.342-69,4,1,Aaaa4721
86272,573.429.601-52,4,1,Aaaa4721
86273,531.048.697-66,4,1,Aaaa4721
86274,297.140.658-01,4,1,Aaaa4721
86275,210.839.574-14,4,1,Aaaa4721
86276,045.618.792-85,4,1,Aaaa4721
86277,831.927.546-64,4,2,Aaaa4721
86278,751.032.986-86,4,2,Aaaa4721
86279,643.071.852-26,4,2,Aaaa4721
86280,587.409.362-10,4,2,Aaaa4721
86281,492.601.587-02,4,2,Aaaa4721
86282,293.417.680-04,4,2,Aaaa4721
86283,935.826.147-19,3,1,Aaaa4721
86284,917.324.856-82,3,1,Aaaa4721
86285,872.013.469-03,3,1,Aaaa4721
86286,826.793.501-03,3,1,Aaaa4721
86287,764.310.259-70,3,1,Aaaa4721
86288,753.840.219-50,3,1,Aaaa4721
86289,736.980.521-21,3,1,Aaaa4721
86290,691.725.034-16,3,1,Aaaa4721
86291,630.142.958-33,3,1,Aaaa4721
86292,580.317.462-90,3,1,Aaaa4721
86293,542.309.167-52,3,1,Aaaa4721
86294,538.926.071-68,3,1,Aaaa4721
86295,473.629.158-37,3,1,Aaaa4721
86296,436.051.897-84,3,1,Aaaa4721
86297,276.518.309-03,3,1,Aaaa4721
86298,258.174.036-17,3,1,Aaaa4721
86299,182.645.079-30,3,1,Aaaa4721
86300,138.072.695-68,3,1,Aaaa4721
86301,019.675.248-58,3,1,Aaaa4721
86302,940.261.537-70,3,2,Aaaa4721
86303,918.562.370-95,3,2,Aaaa4721
86304,834.761.059-20,3,2,Aaaa4721
86305,815.423.096-89,3,2,Aaaa4721
86306,735.480.126-71,3,2,Aaaa4721
86307,680.293.471-03,3,2,Aaaa4721
86308,546.301.879-01,3,2,Aaaa4721
86309,518.907.236-30,3,2,Aaaa4721
86310,478.926.513-73,3,2,Aaaa4721
86311,472.103.685-07,3,2,Aaaa4721
86312,365.891.720-21,3,2,Aaaa4721
86313,217.065.893-95,3,2,Aaaa4721
86314,109.358.264-24,3,2,Aaaa4721
86315,946.572.380-00,2,1,Aaaa4721
86316,791.035.862-86,2,1,Aaaa4721
86317,695.127.034-16,2,1,Aaaa4721
86318,658.730.214-90,2,1,Aaaa4721
86319,582.917.340-97,2,1,Aaaa4721
86320,571.890.324-79,2,1,Aaaa4721
86321,549.072.318-14,2,1,Aaaa4721
86322,486.932.751-19,2,1,Aaaa4721
86323,479.516.830-00,2,1,Aaaa4721
86324,452.037.891-50,2,1,Aaaa4721
86325,438.059.176-00,2,1,Aaaa4721
86326,429.763.508-92,2,1,Aaaa4721
86327,364.805.971-84,2,1,Aaaa4721
86328,273.409.518-14,2,1,Aaaa4721
86329,920.164.738-78,2,2,Aaaa4721
86330,725.369.401-52,2,2,Aaaa4721
86331,704.918.362-87,2,2,Aaaa4721
86332,672.305.189-03,2,2,Aaaa4721
86333,564.970.813-48,2,2,Aaaa4721
86334,246.719.538-46,2,2,Aaaa4721
86335,180.967.532-40,2,2,Aaaa4721
86336,139.285.670-12,2,2,Aaaa4721
86337,071.683.542-80,2,2,Aaaa4721
86338,057.162.493-61,2,2,Aaaa4721
86339,042.863.917-87,2,2,Aaaa4721
86340,705.289.346-00,1,1,Aaaa4721
86341,632.150.489-06,1,1,Aaaa4721
86342,574.698.210-58,1,1,Aaaa4721
86343,516.327.049-43,1,1,Aaaa4721
86344,470.268.351-90,1,1,Aaaa4721
86345,413.879.265-19,1,1,Aaaa4721
86346,375.246.189-64,1,1,Aaaa4721
86347,306.784.259-65,1,1,Aaaa4721
86348,231.568.947-37,1,1,Aaaa4721
86349,950.631.827-12,1,2,Aaaa4721
86350,935.741.260-34,1,2,Aaaa4721
86351,927.086.435-92,1,2,Aaaa4721
86352,609.537.824-92,1,2,Aaaa4721
86353,562.710.489-94,1,2,Aaaa4721
86354,528.147.036-17,1,2,Aaaa4721
86355,396.048.527-10,1,2,Aaaa4721
86356,346.758.012-26,1,2,Aaaa4721
86357,270.691.548-01,1,2,Aaaa4721
86358,260.518.493-51,1,2,Aaaa4721
86359,247.016.983-69,1,2,Aaaa4721
86360,017.845.629-20,1,2,Aaaa4721
63247,918.630.725-86,5,1,AaC162
63248,897.154.230-60,5,1,AaC162
63249,896.730.521-40,5,1,AaC162
63250,893.605.721-95,5,1,AaC162
63251,820.974.536-00,5,1,AaC162
63252,815.493.762-09,5,1,AaC162
63253,809.341.526-24,5,1,AaC162
63254,796.502.381-40,5,1,AaC162
63255,791.453.280-05,5,1,AaC162
63256,760.198.342-04,5,1,AaC162
63257,630.849.715-01,5,1,AaC162
63258,621.985.037-86,5,1,AaC162
63259,617.593.042-80,5,1,AaC162
63260,610.938.452-60,5,1,AaC162
63261,598.406.312-33,5,1,AaC162
63262,564.109.378-57,5,1,AaC162
63263,495.017.823-79,5,1,AaC162
63264,451.609.827-01,5,1,AaC162
63265,385.714.690-75,5,1,AaC162
63266,159.760.234-52,5,1,AaC162
63267,126.390.758-02,5,1,AaC162
63268,052.946.371-70,5,1,AaC162
63269,042.986.153-24,5,1,AaC162
63270,954.703.186-48,5,2,AaC162
63271,817.936.024-50,5,2,AaC162
63272,762.135.094-61,5,2,AaC162
63273,72.386.450-92,5,2,AaC162
63274,598.371.026-59,5,2,AaC162
63275,528.364.970-92,5,2,AaC162
63276,403.217.985-97,5,2,AaC162
63277,360.985.421-98,5,2,AaC162
63278,207.985.413-50,5,2,AaC162
63279,203.496.781-03,5,2,AaC162
63280,198.465.327-09,5,2,AaC162
63281,158.749.320-97,5,2,AaC162
63282,841.923.067-78,4,1,AaC162
63283,726.801.935-12,4,1,AaC162
63284,697.180.342-69,4,1,AaC162
63285,573.429.601-52,4,1,AaC162
63286,531.048.697-66,4,1,AaC162
63287,297.140.658-01,4,1,AaC162
63288,210.839.574-14,4,1,AaC162
63289,045.618.792-85,4,1,AaC162
63290,831.927.546-64,4,2,AaC162
63291,751.032.986-86,4,2,AaC162
63292,643.071.852-26,4,2,AaC162
63293,587.409.362-10,4,2,AaC162
63294,492.601.587-02,4,2,AaC162
63295,293.417.680-04,4,2,AaC162
63296,935.826.147-19,3,1,AaC162
63297,917.324.856-82,3,1,AaC162
63298,872.013.469-03,3,1,AaC162
63299,826.793.501-03,3,1,AaC162
63300,764.310.259-70,3,1,AaC162
63301,753.840.219-50,3,1,AaC162
63302,736.980.521-21,3,1,AaC162
63303,691.725.034-16,3,1,AaC162
63304,630.142.958-33,3,1,AaC162
63305,580.317.462-90,3,1,AaC162
63306,542.309.167-52,3,1,AaC162
63307,538.926.071-68,3,1,AaC162
63308,473.629.158-37,3,1,AaC162
63309,436.051.897-84,3,1,AaC162
63310,276.518.309-03,3,1,AaC162
63311,258.174.036-17,3,1,AaC162
63312,182.645.079-30,3,1,AaC162
63313,138.072.695-68,3,1,AaC162
63314,019.675.248-58,3,1,AaC162
63315,940.261.537-70,3,2,AaC162
63316,918.562.370-95,3,2,AaC162
63317,834.761.059-20,3,2,AaC162
63318,815.423.096-89,3,2,AaC162
63319,735.480.126-71,3,2,AaC162
63320,680.293.471-03,3,2,AaC162
63321,546.301.879-01,3,2,AaC162
63322,518.907.236-30,3,2,AaC162
63323,478.926.513-73,3,2,AaC162
63324,472.103.685-07,3,2,AaC162
63325,365.891.720-21,3,2,AaC162
63326,217.065.893-95,3,2,AaC162
63327,109.358.264-24,3,2,AaC162
63328,946.572.380-00,2,1,AaC162
63329,791.035.862-86,2,1,AaC162
63330,695.127.034-16,2,1,AaC162
63331,658.730.214-90,2,1,AaC162
63332,582.917.340-97,2,1,AaC162
63333,571.890.324-79,2,1,AaC162
63334,549.072.318-14,2,1,AaC162
63335,486.932.751-19,2,1,AaC162
63336,479.516.830-00,2,1,AaC162
63337,452.037.891-50,2,1,AaC162
63338,438.059.176-00,2,1,AaC162
63339,429.763.508-92,2,1,AaC162
63340,364.805.971-84,2,1,AaC162
63341,273.409.518-14,2,1,AaC162
63342,920.164.738-78,2,2,AaC162
63343,725.369.401-52,2,2,AaC162
63344,704.918.362-87,2,2,AaC162
63345,672.305.189-03,2,2,AaC162
