cpf,nome,code_regiao,code_sexo
017.845.629-20,"Igor Carvalho",1,2
019.675.248-58,"Yasmin Sales",3,1
042.863.917-87,"Nicolas Sales",2,2
042.986.153-24,"Evelyn da Mata",5,1
045.618.792-85,"Isabel Monteiro",4,1
052.946.371-70,"Luiza da Conceição",5,1
057.162.493-61,"Leandro Sales",2,2
071.683.542-80,"Emanuel Cardoso",2,2
109.358.264-24,"Gustavo Cardoso",3,2
126.390.758-02,"Carolina Pinto",5,1
138.072.695-68,"Isabel Aragão",3,1
139.285.670-12,"Diogo Silveira",2,2
158.749.320-97,"Bernardo Lima",5,2
159.760.234-52,"Luna Santos",5,1
180.967.532-40,"Heitor Souza",2,2
182.645.079-30,"Larissa Moraes",3,1
198.465.327-09,"Lucas Santos",5,2
203.496.781-03,"Raul Sales",5,2
207.985.413-50,"Emanuel Teixeira",5,2
210.839.574-14,"Milena Fernandes",4,1
217.065.893-95,"Benjamin Costela",3,2
231.568.947-37,"Giovanna Araújo",1,1
246.719.538-46,"Vicente Fernandes",2,2
247.016.983-69,"Augusto Monteiro",1,2
258.174.036-17,"Melissa Nunes",3,1
260.518.493-51,"Henrique Novaes",1,2
270.691.548-01,"Rafael Souza",1,2
273.409.518-14,"Marcela Jesus",2,1
276.518.309-03,"Giovanna Lopes",3,1
293.417.680-04,"Anthony Rezende",4,2
297.140.658-01,"Emanuella Moura",4,1
306.784.259-65,"Ana Rezende",1,1
346.758.012-26,"Luigi da Luz",1,2
360.985.421-98,"Marcelo Costela",5,2
364.805.971-84,"Sophie Porto",2,1
365.891.720-21,"Nathan Mendes",3,2
375.246.189-64,"Melissa Santos",1,1
385.714.690-75,"Marcela Novaes",5,1
396.048.527-10,"Lucas Nunes",1,2
403.217.985-97,"Diego Mendes",5,2
413.879.265-19,"Milena Caldeira",1,1
429.763.508-92,"Sarah da Cruz",2,1
436.051.897-84,"Isabel Monteiro",3,1
438.059.176-00,"Luana Rocha",2,1
451.609.827-01,"Lorena Caldeira",5,1
452.037.891-50,"Caroline Campos",2,1
470.268.351-90,"Juliana Sales",1,1
472.103.685-07,"Luigi Vieira",3,2
473.629.158-37,"Marina Freitas",3,1
478.926.513-73,"Nathan Gomes",3,2
479.516.830-00,"Juliana Silveira",2,1
486.932.751-19,"Maysa da Cruz",2,1
492.601.587-02,"Miguel da Cunha",4,2
495.017.823-79,"Emanuella da Cunha",5,1
516.327.049-43,"Alexia da Conceição",1,1
518.907.236-30,"Enrico Sales",3,2
528.147.036-17,"Benjamin Dias",1,2
528.364.970-92,"Alexandre Gomes",5,2
531.048.697-66,"Mirella da Paz",4,1
538.926.071-68,"Esther Gomes",3,1
542.309.167-52,"Caroline da Conceição",3,1
546.301.879-01,"Miguel Cardoso",3,2
549.072.318-14,"Isabella Souza",2,1
562.710.489-94,"Fernando Almeida",1,2
564.109.378-57,"Raquel da Paz",5,1
564.970.813-48,"Caio Vieira",2,2
571.890.324-79,"Esther Caldeira",2,1
573.429.601-52,"Bianca Peixoto",4,1
574.698.210-58,"Ana Porto",1,1
580.317.462-90,"Isabel Jesus",3,1
582.917.340-97,"Alice Santos",2,1
587.409.362-10,"Vicente Fernandes",4,2
598.371.026-59,"Raul Costa",5,2
598.406.312-33,"Fernanda Correia",5,1
609.537.824-92,"Juan Fernandes",1,2
610.938.452-60,"Letícia Nascimento",5,1
617.593.042-80,"Marcela Santos",5,1
621.985.037-86,"Bianca da Mata",5,1
630.142.958-33,"Larissa Vieira",3,1
630.849.715-01,"Milena Nunes",5,1
632.150.489-06,"Letícia Cunha",1,1
643.071.852-26,"Enrico Correia",4,2
658.730.214-90,"Cecília Oliveira",2,1
672.305.189-03,"Eduardo Ribeiro",2,2
680.293.471-03,"Danilo Sales",3,2
691.725.034-16,"Agatha Novaes",3,1
695.127.034-16,"Elisa Caldeira",2,1
697.180.342-69,"Lavínia Ramos",4,1
704.918.362-87,"Pedro da Mata",2,2
705.289.346-00,"Lívia Monteiro",1,1
72.386.450-92,"Emanuel Novaes",5,2
725.369.401-52,"Leonardo da Cunha",2,2
726.801.935-12,"Evelyn Fernandes",4,1
735.480.126-71,"Pietro Carvalho",3,2
736.980.521-21,"Isis Ferreira",3,1
751.032.986-86,"Luigi Rezende",4,2
753.840.219-50,"Eduarda Alves",3,1
760.198.342-04,"Isabella Carvalho",5,1
762.135.094-61,"Daniel Viana",5,2
764.310.259-70,"Bianca Moreira",3,1
791.035.862-86,"Esther Alves",2,1
791.453.280-05,"Vitória Duarte",5,1
796.502.381-40,"Renan Fogaça",5,1
809.341.526-24,"Rebeca Caldeira",5,1
815.423.096-89,"Leonardo Dias",3,2
815.493.762-09,"Raquel Rezende",5,1
817.936.024-50,"Leandro Moreira",5,2
820.974.536-00,"Rebeca da Luz",5,1
826.793.501-03,"Gabriela Lima",3,1
831.927.546-64,"Samuel da Cunha",4,2
834.761.059-20,"Rodrigo Carvalho",3,2
841.923.067-78,"Amanda Cunha",4,1
872.013.469-03,"Clara Souza",3,1
893.605.721-95,"Sofia Gomes",5,1
896.730.521-40,"Alice Rezende",5,1
897.154.230-60,"Camila Campos",5,1
917.324.856-82,"Fernanda Nunes",3,1
918.562.370-95,"Emanuel Mendes",3,2
918.630.725-86,"Lavínia Castro",5,1
920.164.738-78,"Danilo Lopes",2,2
927.086.435-92,"Noah Farias",1,2
935.741.260-34,"Danilo Campos",1,2
935.826.147-19,"Julia da Rosa",3,1
940.261.537-70,"Rodrigo Ramos",3,2
946.572.380-00,"Sophie Pires",2,1
950.631.827-12,"Rodrigo Ribeiro",1,2
954.703.186-48,"Igor Vieira",5,2
